BN,FPE,Form ID,Program #1 Code,Program #1 %,Program #1 Desc,Program #2 Code,Program #2 %,Program #2 Desc,Program #3 Code,Program #3 %,Program #3 Desc,1510,1510-BN,1510-Name,1570,1600,1800,2000,2100,2400,5030  ,5031,5032,2500,2510,2530,2540,2550,2560,2570,2575,2580,2590,2600,2610,2620,2630,2640,2650,2660,2700,5450,5460,2730,2740,2750,2760,2770,2780,2790,2800,3200,3400,3900,4000,5800,5810,5820,5830,5840,5841,5842,5843,5850,5860,5861,5862,5863,5864
870814944RR0001,2023-01-31,25,,,,,,,,,,N,"","",N,N,Y,N,N,,,,,Y,,Y,,,Y,Y,Y,Y,,,Y,,,,,"",N,,,,,,,,,"",,N,Y,N,N,N,N,N,N,,,,,,,,,,
713482297RR0001,2023-01-31,25,,,,,,,,,,N,"","",N,N,Y,N,N,,,,,,,,,,,,,Y,,Y,Y,,,,Y,"GARAGE SALE",N,,,,,,,,,"",,N,Y,N,N,N,N,N,N,,,,,,,,,,
890765845RR0001,2023-01-31,25,,,,,,,,,,N,"","",N,N,Y,Y,N,,,,,,,,,,,,,,,,,,,,,"",N,,,,,,,,,"",,N,N,N,N,N,N,N,N,,,,,,,,,,
747889004RR0001,2023-02-10,25,,,,,,,,,,N,"","",N,Y,Y,Y,N,,,,,,,,,,,,,,,,,,,,,"",N,,,,,,,,,"",,N,N,N,N,N,N,N,N,,,,,,,,,,
815258793RR0001,2023-01-31,25,,,,,,,,,,N,"","",N,N,Y,Y,N,,,,,,,,,,Y,,,,,,,,,,,"",N,,,,,,,,,"",,N,N,N,N,N,N,N,N,,,,,,,,,,
892469966RR0001,2023-01-31,25,,,,,,,,,,N,"","",N,N,Y,N,N,,,,,,,,,,,,Y,Y,,,,,,,,"",N,,,,,,,,,"",,N,N,N,N,N,N,N,N,,,,,,,,,,
140412834RR0001,2023-01-31,25,,,,,,,,,,N,"","",N,Y,Y,Y,N,,,,,,,,,,,,,,,,,,,,Y,"NONE",N,,,,,,,,,"",,N,N,N,Y,N,N,N,N,,,,,,,,,,
851888412RR0001,2023-02-14,25,,,,,,,,,,N,"","",N,N,Y,Y,Y,,,,,Y,,Y,,,,Y,Y,Y,,,Y,,Y,,Y,"FACEBOOK",N,,,,,,,,,"",,N,N,N,Y,N,N,N,N,,,,,,,,,,
865101349RR0001,2023-01-31,25,,,,,,,,,,,"","",N,N,,N,N,,,,,,,Y,,,,,,Y,,,Y,,,,Y,"INTERNET",N,,,,,,,,,"",,N,N,N,N,N,N,N,N,,,,,,,,,,
857642391RR0001,2023-01-31,25,,,,,,,,,,N,"","",N,N,Y,N,N,,,,,,,,,,,,,,,,Y,,,,,"",N,,,,,,,,,"",,N,N,N,Y,N,N,N,N,,,,,,,,,,
889258398RR0001,2023-01-31,25,,,,,,,,,,N,"","",N,N,Y,N,N,,,,,,,,,,,,,Y,,,,,,,,"",N,,,,,,,,,"",,N,N,N,N,N,N,N,N,,,,,,,,,,
890472509RR0001,2023-01-31,25,,,,,,,,,,N,"","",N,N,Y,N,N,,,,,,,,,,,,,,,Y,,,,,Y,"Rental of facilites.",N,,,,,,,,,"",,N,N,N,N,N,N,N,N,,,,,,,,,,
735144115RR0001,2023-01-31,25,,,,,,,,,,N,"","",N,N,Y,N,N,,,,,,,,,,,,,,,,,,,,,"",N,,,,,,,,,"",,N,N,N,N,N,N,N,N,,,,,,,,,,
843148917RR0001,2023-02-28,25,,,,,,,,,,N,"","",N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,"",N,,,,,,,,,"",,N,N,N,N,N,N,N,N,,,,,,,,,,
889269148RR0001,2023-01-31,25,,,,,,,,,,N,"","",N,N,Y,N,N,,,,,,,,,,,,,,,,,,,,,"",N,,,,,,,,,"",,N,Y,N,N,N,N,N,N,,,,,,,,,,
852075480RR0001,2023-02-28,25,,,,,,,,,,N,"","",N,N,Y,N,N,,,,,,,,,,,,,,,,,,,,,"",N,,,,,,,,,"",,N,N,N,N,N,N,N,N,,,,,,,,,,
849677091RR0001,2023-02-28,25,,,,,,,,,,N,"","",N,N,Y,N,Y,,,,,,,,,,,,Y,,,,,,,,,"",Y,300,12,Y,,,,,,"",Y,N,N,N,N,N,N,N,N,,,,,,,,,,
888066867RR0001,2023-01-31,25,,,,,,,,,,N,"","",N,N,Y,N,N,,,,,,,,,,,,Y,Y,,,Y,,,,,"",N,,,,,,,,,"",,N,N,N,N,N,N,N,N,,,,,,,,,,
132410671RR0097,2023-01-31,25,,,,,,,,,,Y,"120795307RR0001","LA SOCIÉTÉ DE ST-VINCENT-DE-PAUL  CONSEIL PROVINCIAL",N,N,Y,Y,N,,,,,,,,,,,,,,,,,,,,,"",N,,,,,,,,,"",,N,N,N,N,N,N,N,N,,,,,,,,,,
770352110RR0001,2023-02-09,25,A12,100,"",H15,100,"",I1,100,"Assistance in adapting to this new country",N,"","",N,N,Y,N,N,,,,,,,,,,,,,,,,Y,,,,,"",N,,,,,,,,,"",,N,N,N,N,N,N,N,N,,,,,,,,,,
854491511RR0001,2023-01-31,25,,,,,,,,,,N,"","",N,N,Y,Y,N,,,,,,,,,,,,,,,,,,,,Y,"Adult Relax & Ride   horseback riding for able-bodied adults; Family & Friends riding  horseback riding for family members or friends to ride with challenged clients",N,,,,,,,,,"",,N,N,N,N,N,N,N,N,,,,,,,,,,
855970133RR0001,2023-01-31,25,A7,100,"",,,,,,,N,"","",N,N,Y,N,N,,,,,,,,,,,,,,,,,,,,,"",N,,,,,,,,,"",,N,N,N,Y,N,N,N,N,,,,,,,,,,
838393486RR0001,2023-01-31,25,F4,100,"",,,,,,,N,"","",N,N,Y,Y,N,,,,,,,,,,Y,,Y,,,Y,Y,,Y,,,"",N,,,,,,,,,"",,N,N,N,N,N,N,N,N,,,,,,,,,,
