BN,Category,Sub Category,Designation,Legal Name,Account Name,Address Line 1,Address Line 2,City,Province,Postal Code,Country
870814944RR0001,0200,0009,C,"VANKLEEK HILL & DISTRICT HISTORICAL SOCIETY/LA SOCIETE HISTORIQUE REGIONALE DE VANKLEEK HILL","VANKLEEK HILL & DISTRICT HISTORICAL SOCIETY/LA SOCIETE HISTORIQUE REGIONALE DE VANKLEEK HILL","PO BOX 537","","VANKLEEK HILL",ON,K0B1R0,CA
713482297RR0001,0110,0099,C,"The Medical Equipment Lending Society of West Central Alberta","The Medical Equipment Lending Society of West Central Alberta","BOX 2227","","ROCKY MOUNTAIN HOUSE",AB,T4T1B6,CA
890765845RR0001,0011,0099,C,"5T6 CIVILS SCHOLARSHIP FUND  THE","5T6 CIVILS SCHOLARSHIP FUND  THE","54 ABERFOYLE MILL CRES","","PUSLINCH",ON,N0B2J0,CA
747889004RR0001,0210,0002,B,"13766918 Canada Foundation","13766918 Canada Foundation","258 KETCHIKAN CRES","","KANATA",ON,K2T0S2,CA
815258793RR0001,0210,0001,C,"Union Orthodoxe d'Antioche du Canada (UOAC)","Union Orthodoxe d'Antioche du Canada (UOAC)","400 AV VIVIAN","","MONT-ROYAL",QC,H3P1P5,CA
892469966RR0001,0001,0099,C,"Loughborough Christmas & Emergency Relief Committee","Loughborough Christmas & Emergency Relief Committee","BOX 88","","SYDENHAM",ON,K0H2T0,CA
140412834RR0001,0210,0002,B,"DOULOS FOUNDATION","DOULOS FOUNDATION","250 - 1319 EDMONTON TRAIL NE","","CALGARY",AB,T2E4Y8,CA
851888412RR0001,0001,0013,C,"MON SAC D'ÉCOLE / MY SCHOOL BAG","Mon Sac d'école / My School Bag","208 - 511 RUE ABELARD","","VERDUN",QC,H3E1B6,CA
865101349RR0001,0070,0002,C,"PALPUNG PHENDE KUNKYAB FOUNDATION","PALPUNG PHENDE KUNKYAB FOUNDATION","3991 MORESBY DRIVE","","RICHMOND",BC,V7C5G3,CA
857642391RR0001,0070,0005,C,"Alsalam Community Development Association","Alsalam Community Development Association","7-10 FALCONER DR","","MISSISSAUGA",ON,L5N3L8,CA
889258398RR0001,0110,0099,C,"The Bayview hospital centre auxiliary","THE BAYVIEW HOSPITAL CENTRE AUXILIARY","27 LAKESHORE","","POINTE-CLAIRE",QC,H9S4H1,CA
890472509RR0001,0200,0007,C,"LOBELCO COMMUNITY CLUB","LOBELCO COMMUNITY CLUB","931 HIGHWAY 20","P. O. BOX 386","BELLA COOLA",BC,V0T1C0,CA
735144115RR0001,0160,0099,C,"BOOKTON CEMETERY","Bookton Cemetery","RR 1  236 LA SALETTE ROAD","","LA SALETTE",ON,N0E1H0,CA
843148917RR0001,0070,0013,C,"GEORGE ST. GALT GOSPEL TRUST","George Street Galt Gospel Trust","503 SCENIC DR","","ST GEORGE",ON,N0E1N0,CA
889269148RR0001,0160,0099,C,"LEAMINGTON CEMETERY COMPANY","LEAMINGTON CEMETERY COMPANY","PO BOX 82","","SPRINGHILL",NS,B0M1X0,CA
852075480RR0001,0110,0016,C,"PARKLAND PLACE AUXILIARY","Parkland Place Auxiliary","PO BOX 639","","MELFORT",SK,S0E1A0,CA
849677091RR0001,0110,0099,C,"Malamulele Onward Canada","Malamulele Onward Canada","140 MAYLA DRIVE","","OAKVILLE",ON,L6H3T4,CA
